employee_id,competence_id,level,interest
EMPLOYEE_6,860966ekgo,2,1
EMPLOYEE_6,8ys96p08p4,3,1
EMPLOYEE_6,99vvo91542,1,1
EMPLOYEE_6,3bgx2a6278,1,0
EMPLOYEE_6,4s23kdq383,1,0
EMPLOYEE_6,2mi55kl065,4,1
EMPLOYEE_7,1dz4n8r554,4,0
EMPLOYEE_7,aa985fr035,3,1
EMPLOYEE_8,mg54my1580,2,0
EMPLOYEE_8,u69o196gu6,2,0
EMPLOYEE_8,860966ekgo,5,0
EMPLOYEE_8,2mi55kl065,1,0
EMPLOYEE_8,00b51s9rc5,5,0
EMPLOYEE_8,3h9eab1489,5,0
EMPLOYEE_8,13z458t54u,2,0
EMPLOYEE_8,0690r7o8r2,1,0
EMPLOYEE_8,99vvo91542,1,0
EMPLOYEE_8,1b043jw49b,5,0
EMPLOYEE_8,o9e8s72z21,1,1
EMPLOYEE_8,3bgx2a6278,5,1
EMPLOYEE_8,1dz4n8r554,2,1
EMPLOYEE_8,9a5d39t62b,3,1
EMPLOYEE_8,4s23kdq383,3,1
EMPLOYEE_8,y2s2861s9p,1,0
EMPLOYEE_8,sq0c9q6116,5,0
EMPLOYEE_8,9i6ta81748,5,0
EMPLOYEE_9,4s23kdq383,2,1
EMPLOYEE_9,sq0c9q6116,2,1
EMPLOYEE_9,3bgx2a6278,3,0
EMPLOYEE_9,860966ekgo,3,0
EMPLOYEE_9,1dz4n8r554,3,0
EMPLOYEE_9,9a5d39t62b,5,0
EMPLOYEE_9,99vvo91542,3,0
EMPLOYEE_9,o9e8s72z21,3,0
EMPLOYEE_9,mg54my1580,3,1
EMPLOYEE_9,7d4t7002v7,1,0
EMPLOYEE_9,00b51s9rc5,4,1
EMPLOYEE_9,9i6ta81748,1,1
EMPLOYEE_10,13z458t54u,4,0
EMPLOYEE_10,8ys96p08p4,1,0
EMPLOYEE_10,3bgx2a6278,1,1
EMPLOYEE_10,860966ekgo,2,1
EMPLOYEE_10,1dz4n8r554,1,1
EMPLOYEE_10,aa985fr035,1,1
EMPLOYEE_10,9a5d39t62b,2,0
EMPLOYEE_10,7d4t7002v7,5,1
EMPLOYEE_10,1b043jw49b,2,0
EMPLOYEE_10,4s23kdq383,2,1
EMPLOYEE_10,9i6ta81748,2,1
EMPLOYEE_10,0690r7o8r2,2,1
EMPLOYEE_10,99vvo91542,1,1
EMPLOYEE_10,3h9eab1489,4,0
EMPLOYEE_10,u69o196gu6,4,1
EMPLOYEE_11,y2s2861s9p,4,1
EMPLOYEE_12,860966ekgo,5,1
EMPLOYEE_12,13z458t54u,3,0
EMPLOYEE_12,8ys96p08p4,3,0
EMPLOYEE_12,u69o196gu6,1,0
EMPLOYEE_12,mg54my1580,3,1
EMPLOYEE_12,o9e8s72z21,5,0
EMPLOYEE_12,99vvo91542,5,0
EMPLOYEE_12,1dz4n8r554,1,1
EMPLOYEE_12,9i6ta81748,5,0
EMPLOYEE_12,sq0c9q6116,4,0
EMPLOYEE_12,3bgx2a6278,3,1
EMPLOYEE_12,4s23kdq383,3,1
EMPLOYEE_13,13z458t54u,2,0
EMPLOYEE_13,aa985fr035,4,0
EMPLOYEE_13,860966ekgo,3,1
EMPLOYEE_13,3bgx2a6278,1,1
EMPLOYEE_13,u69o196gu6,2,1
EMPLOYEE_13,2mi55kl065,4,1
EMPLOYEE_13,99vvo91542,2,1
EMPLOYEE_13,o9e8s72z21,2,0
EMPLOYEE_13,9a5d39t62b,5,1
EMPLOYEE_13,3h9eab1489,2,1
EMPLOYEE_14,3h9eab1489,2,1
EMPLOYEE_15,860966ekgo,5,0
EMPLOYEE_15,0690r7o8r2,4,1
EMPLOYEE_15,99vvo91542,2,0
EMPLOYEE_15,8ys96p08p4,4,0
EMPLOYEE_15,y2s2861s9p,5,1
EMPLOYEE_15,3h9eab1489,5,0
EMPLOYEE_15,3bgx2a6278,1,1
EMPLOYEE_15,9a5d39t62b,4,1
EMPLOYEE_15,00b51s9rc5,4,1
EMPLOYEE_15,1b043jw49b,4,0
EMPLOYEE_15,aa985fr035,4,1
EMPLOYEE_15,7d4t7002v7,3,1
EMPLOYEE_15,u69o196gu6,3,1
EMPLOYEE_15,4s23kdq383,3,0
EMPLOYEE_16,4s23kdq383,2,0
EMPLOYEE_16,7d4t7002v7,4,0
EMPLOYEE_16,99vvo91542,1,1
EMPLOYEE_16,o9e8s72z21,3,1
EMPLOYEE_16,13z458t54u,1,0
EMPLOYEE_16,00b51s9rc5,4,0
EMPLOYEE_16,3bgx2a6278,5,1
EMPLOYEE_16,sq0c9q6116,1,1
EMPLOYEE_16,1dz4n8r554,4,1
EMPLOYEE_16,aa985fr035,5,0
EMPLOYEE_16,0690r7o8r2,2,1
EMPLOYEE_16,2mi55kl065,4,0
EMPLOYEE_16,1b043jw49b,3,1
EMPLOYEE_16,8ys96p08p4,4,0
EMPLOYEE_16,u69o196gu6,5,0
EMPLOYEE_16,y2s2861s9p,5,0
EMPLOYEE_16,9i6ta81748,4,0
EMPLOYEE_16,860966ekgo,2,0
EMPLOYEE_17,1b043jw49b,3,1
EMPLOYEE_17,0690r7o8r2,3,1
EMPLOYEE_17,7d4t7002v7,1,1
EMPLOYEE_17,9i6ta81748,5,0
EMPLOYEE_17,mg54my1580,2,0
EMPLOYEE_17,4s23kdq383,1,0
EMPLOYEE_17,1dz4n8r554,1,0
EMPLOYEE_18,00b51s9rc5,2,1
EMPLOYEE_18,7d4t7002v7,3,0
EMPLOYEE_18,8ys96p08p4,2,1
EMPLOYEE_18,9a5d39t62b,5,0
EMPLOYEE_19,0690r7o8r2,2,0
EMPLOYEE_19,3bgx2a6278,2,0
EMPLOYEE_19,u69o196gu6,5,0
EMPLOYEE_19,3h9eab1489,3,1
EMPLOYEE_19,1b043jw49b,1,1
EMPLOYEE_19,9i6ta81748,4,1
EMPLOYEE_19,8ys96p08p4,4,1
EMPLOYEE_19,o9e8s72z21,4,0
EMPLOYEE_19,sq0c9q6116,2,1
EMPLOYEE_19,13z458t54u,5,1
EMPLOYEE_19,aa985fr035,4,1
EMPLOYEE_19,7d4t7002v7,2,0
EMPLOYEE_19,99vvo91542,4,0
EMPLOYEE_20,sq0c9q6116,1,1
EMPLOYEE_20,2mi55kl065,2,1
EMPLOYEE_20,y2s2861s9p,3,1
EMPLOYEE_20,aa985fr035,3,1
EMPLOYEE_20,9i6ta81748,5,0
EMPLOYEE_20,8ys96p08p4,2,1
EMPLOYEE_20,0690r7o8r2,5,0
EMPLOYEE_20,00b51s9rc5,4,1
EMPLOYEE_20,1b043jw49b,1,0
EMPLOYEE_20,99vvo91542,2,1
EMPLOYEE_20,1dz4n8r554,3,1
EMPLOYEE_20,13z458t54u,5,1
EMPLOYEE_20,o9e8s72z21,5,1
EMPLOYEE_21,7d4t7002v7,2,0
EMPLOYEE_21,y2s2861s9p,3,0
EMPLOYEE_21,3bgx2a6278,2,0
EMPLOYEE_21,99vvo91542,4,1
EMPLOYEE_21,860966ekgo,5,1
EMPLOYEE_21,8ys96p08p4,2,1
EMPLOYEE_21,9a5d39t62b,3,0
EMPLOYEE_21,u69o196gu6,1,0
EMPLOYEE_21,sq0c9q6116,1,0
EMPLOYEE_21,mg54my1580,3,0
EMPLOYEE_22,u69o196gu6,4,1
EMPLOYEE_22,mg54my1580,3,0
EMPLOYEE_22,3h9eab1489,3,1
EMPLOYEE_22,9a5d39t62b,1,1
EMPLOYEE_22,3bgx2a6278,1,0
EMPLOYEE_22,y2s2861s9p,2,1
EMPLOYEE_22,4s23kdq383,2,0
EMPLOYEE_22,aa985fr035,4,0
EMPLOYEE_22,860966ekgo,5,1
EMPLOYEE_22,0690r7o8r2,4,1
EMPLOYEE_22,13z458t54u,4,1
EMPLOYEE_22,00b51s9rc5,5,0
EMPLOYEE_22,8ys96p08p4,2,0
EMPLOYEE_22,sq0c9q6116,1,0
EMPLOYEE_22,1dz4n8r554,2,0
EMPLOYEE_22,99vvo91542,1,1
EMPLOYEE_22,1b043jw49b,5,1
EMPLOYEE_22,2mi55kl065,1,0
EMPLOYEE_22,7d4t7002v7,3,1
EMPLOYEE_23,00b51s9rc5,2,1
EMPLOYEE_23,8ys96p08p4,5,0
EMPLOYEE_23,1dz4n8r554,3,0
EMPLOYEE_23,4s23kdq383,1,0
EMPLOYEE_23,0690r7o8r2,5,1
EMPLOYEE_23,3bgx2a6278,1,1
EMPLOYEE_23,mg54my1580,3,1
EMPLOYEE_23,99vvo91542,5,1
EMPLOYEE_23,2mi55kl065,1,0
EMPLOYEE_23,sq0c9q6116,3,1
EMPLOYEE_23,9i6ta81748,1,0
EMPLOYEE_23,860966ekgo,5,0
EMPLOYEE_23,u69o196gu6,5,0
EMPLOYEE_23,y2s2861s9p,4,1
EMPLOYEE_23,7d4t7002v7,2,1
EMPLOYEE_23,13z458t54u,4,0
EMPLOYEE_23,1b043jw49b,3,1
EMPLOYEE_23,aa985fr035,3,0
EMPLOYEE_23,3h9eab1489,3,1
EMPLOYEE_23,o9e8s72z21,3,1
EMPLOYEE_23,9a5d39t62b,4,0
EMPLOYEE_24,0690r7o8r2,5,0
EMPLOYEE_24,00b51s9rc5,4,1
EMPLOYEE_24,3h9eab1489,2,1
EMPLOYEE_24,13z458t54u,4,0
EMPLOYEE_25,u69o196gu6,4,1
EMPLOYEE_25,8ys96p08p4,1,0
EMPLOYEE_25,y2s2861s9p,3,0
EMPLOYEE_25,860966ekgo,4,0
EMPLOYEE_25,sq0c9q6116,1,1
EMPLOYEE_26,o9e8s72z21,3,1
EMPLOYEE_26,mg54my1580,4,0
EMPLOYEE_26,1b043jw49b,5,0
EMPLOYEE_26,0690r7o8r2,2,0
EMPLOYEE_26,4s23kdq383,3,1
EMPLOYEE_26,2mi55kl065,5,1
EMPLOYEE_26,3bgx2a6278,1,1
EMPLOYEE_26,13z458t54u,3,1
EMPLOYEE_26,8ys96p08p4,4,1
EMPLOYEE_26,99vvo91542,3,1
EMPLOYEE_27,00b51s9rc5,4,0
EMPLOYEE_27,aa985fr035,1,1
EMPLOYEE_27,o9e8s72z21,4,1
EMPLOYEE_27,9a5d39t62b,4,0
EMPLOYEE_27,1dz4n8r554,5,1
EMPLOYEE_27,8ys96p08p4,4,0
EMPLOYEE_27,2mi55kl065,4,0
EMPLOYEE_27,13z458t54u,2,1
EMPLOYEE_28,sq0c9q6116,5,1
EMPLOYEE_28,4s23kdq383,3,1
EMPLOYEE_28,0690r7o8r2,4,0
EMPLOYEE_28,8ys96p08p4,2,1
EMPLOYEE_28,u69o196gu6,1,1
EMPLOYEE_28,1dz4n8r554,1,1
EMPLOYEE_28,9a5d39t62b,3,0
EMPLOYEE_28,9i6ta81748,3,0
EMPLOYEE_28,2mi55kl065,3,1
EMPLOYEE_29,aa985fr035,5,0
EMPLOYEE_29,1dz4n8r554,2,0
EMPLOYEE_29,1b043jw49b,5,0
EMPLOYEE_29,00b51s9rc5,5,0
EMPLOYEE_29,7d4t7002v7,4,1
EMPLOYEE_29,3bgx2a6278,3,0
EMPLOYEE_29,860966ekgo,4,1
EMPLOYEE_29,0690r7o8r2,5,0
EMPLOYEE_29,3h9eab1489,4,1
EMPLOYEE_29,mg54my1580,3,1
EMPLOYEE_29,y2s2861s9p,4,1
EMPLOYEE_29,9a5d39t62b,4,1
EMPLOYEE_29,4s23kdq383,2,1
EMPLOYEE_29,2mi55kl065,5,1
EMPLOYEE_29,o9e8s72z21,3,0
EMPLOYEE_29,13z458t54u,4,1
EMPLOYEE_29,9i6ta81748,5,0
EMPLOYEE_30,3bgx2a6278,3,0
EMPLOYEE_30,y2s2861s9p,5,1
EMPLOYEE_30,9a5d39t62b,1,0
EMPLOYEE_30,2mi55kl065,4,0
EMPLOYEE_30,1b043jw49b,2,0
EMPLOYEE_30,0690r7o8r2,3,1
EMPLOYEE_30,4s23kdq383,2,0
EMPLOYEE_30,00b51s9rc5,5,1
